date,heure,rang,nb_gagnants,gain_unitaire_eur,gain_total_eur
25/04/2026,18h,10,0,0,0
25/04/2026,18h,9L,6,1000,6000
25/04/2026,18h,9,34,500,17000
25/04/2026,18h,8L,174,100,17400
25/04/2026,18h,8,866,50,43300
25/04/2026,18h,7L,1759,14,24626
25/04/2026,18h,7,8759,7,61313
25/04/2026,18h,6L,8615,2,17230
25/04/2026,18h,6,41892,1,41892
25/04/2026,18h,0L,70386,1,70386
25/04/2026,19h,10,0,0,0
25/04/2026,19h,9L,5,1384,6920
25/04/2026,19h,9,23,726,16698
25/04/2026,19h,8L,201,139.8,28099.8
25/04/2026,19h,8,939,71.2,66856.8
25/04/2026,19h,7L,2342,20.3,47542.6
25/04/2026,19h,7,11815,11.1,131146.5
25/04/2026,19h,6L,11499,3.6,41396.4
25/04/2026,19h,6,56527,1.8,101748.6
25/04/2026,19h,0L,100061,1.3,130079.3
02/05/2026,13h,10,0,0,0
02/05/2026,13h,9L,6,1000,6000
02/05/2026,13h,9,34,500,17000
02/05/2026,13h,8L,146,100,14600
02/05/2026,13h,8,784,50,39200
02/05/2026,13h,7L,1563,14,21882
02/05/2026,13h,7,8031,7,56217
02/05/2026,13h,6L,7502,2,15004
02/05/2026,13h,6,38076,1,38076
02/05/2026,13h,0L,69718,1,69718
02/05/2026,14h,10,0,0,0
02/05/2026,14h,9L,1,1000,1000
02/05/2026,14h,9,6,500,3000
02/05/2026,14h,8L,81,100,8100
02/05/2026,14h,8,368,50,18400
02/05/2026,14h,7L,1051,14,14714
02/05/2026,14h,7,5105,7,35735
02/05/2026,14h,6L,5963,2,11926
02/05/2026,14h,6,29726,1,29726
02/05/2026,14h,0L,64471,1,64471
02/05/2026,15h,10,0,0,0
02/05/2026,15h,9L,4,1000,4000
02/05/2026,15h,9,10,500,5000
02/05/2026,15h,8L,101,100,10100
02/05/2026,15h,8,528,50,26400
02/05/2026,15h,7L,1246,14,17444
02/05/2026,15h,7,6504,7,45528
02/05/2026,15h,6L,6711,2,13422
02/05/2026,15h,6,33475,1,33475
02/05/2026,15h,0L,67054,1,67054
02/05/2026,16h,10,0,0,0
02/05/2026,16h,9L,3,1000,3000
02/05/2026,16h,9,10,500,5000
02/05/2026,16h,8L,90,100,9000
02/05/2026,16h,8,478,50,23900
02/05/2026,16h,7L,1077,14,15078
02/05/2026,16h,7,5701,7,39907
02/05/2026,16h,6L,6286,2,12572
02/05/2026,16h,6,31030,1,31030
02/05/2026,16h,0L,69524,1,69524
02/05/2026,17h,10,0,0,0
02/05/2026,17h,9L,3,1000,3000
02/05/2026,17h,9,14,500,7000
02/05/2026,17h,8L,101,100,10100
02/05/2026,17h,8,509,50,25450
02/05/2026,17h,7L,1211,14,16954
02/05/2026,17h,7,6120,7,42840
02/05/2026,17h,6L,6461,2,12922
02/05/2026,17h,6,33395,1,33395
02/05/2026,17h,0L,73357,1,73357
02/05/2026,18h,10,0,0,0
02/05/2026,18h,9L,3,1000,3000
02/05/2026,18h,9,20,500,10000
02/05/2026,18h,8L,99,100,9900
02/05/2026,18h,8,509,50,25450
02/05/2026,18h,7L,1293,14,18102
02/05/2026,18h,7,6496,7,45472
02/05/2026,18h,6L,7382,2,14764
02/05/2026,18h,6,36287,1,36287
02/05/2026,18h,0L,78215,1,78215
02/05/2026,19h,10,0,0,0
02/05/2026,19h,9L,5,2344,11720
02/05/2026,19h,9,29,1127.5,32697.5
02/05/2026,19h,8L,152,284.2,43198.4
02/05/2026,19h,8,828,134.5,111366
02/05/2026,19h,7L,2127,38.3,81464.1
02/05/2026,19h,7,10646,23.1,245922.6
02/05/2026,19h,6L,11732,7.7,90336.4
02/05/2026,19h,6,57619,3.9,224714.1
02/05/2026,19h,0L,124618,1.9,236774.2
09/05/2026,13h,10,0,0,0
09/05/2026,13h,9L,3,1000,3000
09/05/2026,13h,9,20,500,10000
09/05/2026,13h,8L,134,100,13400
09/05/2026,13h,8,615,50,30750
09/05/2026,13h,7L,1445,14,20230
09/05/2026,13h,7,7307,7,51149
09/05/2026,13h,6L,8092,2,16184
09/05/2026,13h,6,39937,1,39937
09/05/2026,13h,0L,73005,1,73005
09/05/2026,14h,10,0,0,0
09/05/2026,14h,9L,2,1000,2000
09/05/2026,14h,9,19,500,9500
09/05/2026,14h,8L,89,100,8900
09/05/2026,14h,8,535,50,26750
09/05/2026,14h,7L,1191,14,16674
09/05/2026,14h,7,6161,7,43127
09/05/2026,14h,6L,6474,2,12948
09/05/2026,14h,6,32549,1,32549
09/05/2026,14h,0L,66485,1,66485
09/05/2026,15h,10,0,0,0
09/05/2026,15h,9L,3,1000,3000
09/05/2026,15h,9,19,500,9500
09/05/2026,15h,8L,92,100,9200
09/05/2026,15h,8,520,50,26000
09/05/2026,15h,7L,1143,14,16002
09/05/2026,15h,7,5684,7,39788
09/05/2026,15h,6L,6355,2,12710
09/05/2026,15h,6,31911,1,31911
09/05/2026,15h,0L,69543,1,69543
09/05/2026,16h,10,0,0,0
09/05/2026,16h,9L,3,1000,3000
09/05/2026,16h,9,12,500,6000
09/05/2026,16h,8L,111,100,11100
09/05/2026,16h,8,523,50,26150
09/05/2026,16h,7L,1315,14,18410
09/05/2026,16h,7,6358,7,44506
09/05/2026,16h,6L,6749,2,13498
09/05/2026,16h,6,33760,1,33760
09/05/2026,16h,0L,71410,1,71410
09/05/2026,17h,10,0,0,0
09/05/2026,17h,9L,2,1000,2000
09/05/2026,17h,9,12,500,6000
09/05/2026,17h,8L,92,100,9200
09/05/2026,17h,8,503,50,25150
09/05/2026,17h,7L,1178,14,16492
09/05/2026,17h,7,5520,7,38640
09/05/2026,17h,6L,6352,2,12704
09/05/2026,17h,6,31343,1,31343
09/05/2026,17h,0L,76110,1,76110
09/05/2026,18h,10,0,0,0
09/05/2026,18h,9L,2,1000,2000
09/05/2026,18h,9,34,500,17000
09/05/2026,18h,8L,140,100,14000
09/05/2026,18h,8,806,50,40300
09/05/2026,18h,7L,1680,14,23520
09/05/2026,18h,7,8632,7,60424
09/05/2026,18h,6L,8356,2,16712
09/05/2026,18h,6,41718,1,41718
09/05/2026,18h,0L,78466,1,78466
09/05/2026,19h,10,0,0,0
09/05/2026,19h,9L,10,1672,16720
09/05/2026,19h,9,44,913.6,40198.4
09/05/2026,19h,8L,266,205.2,54583.2
09/05/2026,19h,8,1293,104.1,134601.3
09/05/2026,19h,7L,2677,33.3,89144.1
09/05/2026,19h,7,13393,19.8,265181.4
09/05/2026,19h,6L,13507,7,94549
09/05/2026,19h,6,67535,3.5,236372.5
09/05/2026,19h,0L,129257,1.8,232662.6
16/05/2026,13h,10,1,100000,100000
16/05/2026,13h,9L,2,1000,2000
16/05/2026,13h,9,13,500,6500
16/05/2026,13h,8L,83,100,8300
16/05/2026,13h,8,482,50,24100
16/05/2026,13h,7L,1208,14,16912
16/05/2026,13h,7,6008,7,42056
16/05/2026,13h,6L,6539,2,13078
16/05/2026,13h,6,32639,1,32639
16/05/2026,13h,0L,72598,1,72598
16/05/2026,14h,10,0,0,0
16/05/2026,14h,9L,6,1000,6000
16/05/2026,14h,9,17,500,8500
16/05/2026,14h,8L,93,100,9300
16/05/2026,14h,8,445,50,22250
16/05/2026,14h,7L,1154,14,16156
16/05/2026,14h,7,5851,7,40957
16/05/2026,14h,6L,6311,2,12622
16/05/2026,14h,6,31310,1,31310
16/05/2026,14h,0L,63895,1,63895
16/05/2026,15h,10,0,0,0
16/05/2026,15h,9L,4,1000,4000
16/05/2026,15h,9,41,500,20500
16/05/2026,15h,8L,125,100,12500
16/05/2026,15h,8,516,50,25800
16/05/2026,15h,7L,1329,14,18606
16/05/2026,15h,7,6184,7,43288
16/05/2026,15h,6L,6575,2,13150
16/05/2026,15h,6,33326,1,33326
16/05/2026,15h,0L,67349,1,67349
16/05/2026,16h,10,0,0,0
16/05/2026,16h,9L,1,1000,1000
16/05/2026,16h,9,16,500,8000
16/05/2026,16h,8L,118,100,11800
16/05/2026,16h,8,531,50,26550
16/05/2026,16h,7L,1283,14,17962
16/05/2026,16h,7,6372,7,44604
16/05/2026,16h,6L,6526,2,13052
16/05/2026,16h,6,33343,1,33343
16/05/2026,16h,0L,69228,1,69228
16/05/2026,17h,10,1,400000,400000
16/05/2026,17h,9L,6,1000,6000
16/05/2026,17h,9,16,500,8000
16/05/2026,17h,8L,105,100,10500
16/05/2026,17h,8,507,50,25350
16/05/2026,17h,7L,1230,14,17220
16/05/2026,17h,7,6380,7,44660
16/05/2026,17h,6L,6844,2,13688
16/05/2026,17h,6,34105,1,34105
16/05/2026,17h,0L,72802,1,72802
16/05/2026,18h,10,0,0,0
16/05/2026,18h,9L,2,1000,2000
16/05/2026,18h,9,16,500,8000
16/05/2026,18h,8L,78,100,7800
16/05/2026,18h,8,416,50,20800
16/05/2026,18h,7L,1122,14,15708
16/05/2026,18h,7,5544,7,38808
16/05/2026,18h,6L,6170,2,12340
16/05/2026,18h,6,31859,1,31859
16/05/2026,18h,0L,75257,1,75257
16/05/2026,19h,10,0,0,0
16/05/2026,19h,9L,4,1480,5920
16/05/2026,19h,9,24,716.6,17198.4
16/05/2026,19h,8L,170,147,24990
16/05/2026,19h,8,811,74.6,60500.6
16/05/2026,19h,7L,1892,21.8,41245.6
16/05/2026,19h,7,9632,12.1,116547.2
16/05/2026,19h,6L,10187,3.9,39729.3
16/05/2026,19h,6,50968,1.9,96839.2
16/05/2026,19h,0L,110587,1.2,132704.4
23/05/2026,13h,10,1,100000,100000
23/05/2026,13h,9L,8,1000,8000
23/05/2026,13h,9,14,500,7000
23/05/2026,13h,8L,117,100,11700
23/05/2026,13h,8,499,50,24950
23/05/2026,13h,7L,1157,14,16198
23/05/2026,13h,7,6196,7,43372
23/05/2026,13h,6L,6380,2,12760
23/05/2026,13h,6,32004,1,32004
23/05/2026,13h,0L,65803,1,65803
23/05/2026,14h,10,0,0,0
23/05/2026,14h,9L,5,1000,5000
23/05/2026,14h,9,16,500,8000
23/05/2026,14h,8L,94,100,9400
23/05/2026,14h,8,447,50,22350
23/05/2026,14h,7L,1136,14,15904
23/05/2026,14h,7,5681,7,39767
23/05/2026,14h,6L,6003,2,12006
23/05/2026,14h,6,30726,1,30726
23/05/2026,14h,0L,59163,1,59163
23/05/2026,15h,10,0,0,0
23/05/2026,15h,9L,1,1000,1000
23/05/2026,15h,9,8,500,4000
23/05/2026,15h,8L,100,100,10000
23/05/2026,15h,8,463,50,23150
23/05/2026,15h,7L,1086,14,15204
23/05/2026,15h,7,5335,7,37345
23/05/2026,15h,6L,5716,2,11432
23/05/2026,15h,6,29116,1,29116
23/05/2026,15h,0L,62393,1,62393
23/05/2026,16h,10,0,0,0
23/05/2026,16h,9L,4,1000,4000
23/05/2026,16h,9,8,500,4000
23/05/2026,16h,8L,72,100,7200
23/05/2026,16h,8,407,50,20350
23/05/2026,16h,7L,938,14,13132
23/05/2026,16h,7,4950,7,34650
23/05/2026,16h,6L,5616,2,11232
23/05/2026,16h,6,27873,1,27873
23/05/2026,16h,0L,64060,1,64060
23/05/2026,17h,10,0,0,0
23/05/2026,17h,9L,2,1000,2000
23/05/2026,17h,9,13,500,6500
23/05/2026,17h,8L,80,100,8000
23/05/2026,17h,8,475,50,23750
23/05/2026,17h,7L,1214,14,16996
23/05/2026,17h,7,5525,7,38675
23/05/2026,17h,6L,6136,2,12272
23/05/2026,17h,6,30293,1,30293
23/05/2026,17h,0L,67166,1,67166
23/05/2026,18h,10,0,0,0
23/05/2026,18h,9L,2,1000,2000
23/05/2026,18h,9,18,500,9000
23/05/2026,18h,8L,104,100,10400
23/05/2026,18h,8,521,50,26050
23/05/2026,18h,7L,1189,14,16646
23/05/2026,18h,7,6125,7,42875
23/05/2026,18h,6L,6787,2,13574
23/05/2026,18h,6,33578,1,33578
23/05/2026,18h,0L,70612,1,70612
23/05/2026,19h,10,0,0,0
23/05/2026,19h,9L,3,2920,8760
23/05/2026,19h,9,26,1100,28600
23/05/2026,19h,8L,214,212.1,45389.4
23/05/2026,19h,8,994,110.3,109638.2
23/05/2026,19h,7L,2167,34.5,74761.5
23/05/2026,19h,7,10904,20.5,223532
23/05/2026,19h,6L,11326,7.1,80414.6
23/05/2026,19h,6,55350,3.6,199260
23/05/2026,19h,0L,117657,1.8,211782.6
30/05/2026,13h,10,0,0,0
30/05/2026,13h,9L,2,1000,2000
30/05/2026,13h,9,7,500,3500
30/05/2026,13h,8L,96,100,9600
30/05/2026,13h,8,383,50,19150
30/05/2026,13h,7L,1037,14,14518
30/05/2026,13h,7,5182,7,36274
30/05/2026,13h,6L,5742,2,11484
30/05/2026,13h,6,29603,1,29603
30/05/2026,13h,0L,66548,1,66548
30/05/2026,14h,10,0,0,0
30/05/2026,14h,9L,2,1000,2000
30/05/2026,14h,9,8,500,4000
30/05/2026,14h,8L,114,100,11400
30/05/2026,14h,8,484,50,24200
30/05/2026,14h,7L,1093,14,15302
30/05/2026,14h,7,5721,7,40047
30/05/2026,14h,6L,6164,2,12328
30/05/2026,14h,6,30540,1,30540
30/05/2026,14h,0L,60165,1,60165
30/05/2026,15h,10,0,0,0
30/05/2026,15h,9L,1,1000,1000
30/05/2026,15h,9,14,500,7000
30/05/2026,15h,8L,74,100,7400
30/05/2026,15h,8,384,50,19200
30/05/2026,15h,7L,1041,14,14574
30/05/2026,15h,7,5150,7,36050
30/05/2026,15h,6L,5908,2,11816
30/05/2026,15h,6,29599,1,29599
30/05/2026,15h,0L,63918,1,63918
30/05/2026,16h,10,0,0,0
30/05/2026,16h,9L,2,1000,2000
30/05/2026,16h,9,9,500,4500
30/05/2026,16h,8L,87,100,8700
30/05/2026,16h,8,450,50,22500
30/05/2026,16h,7L,1152,14,16128
30/05/2026,16h,7,5384,7,37688
30/05/2026,16h,6L,5912,2,11824
30/05/2026,16h,6,29986,1,29986
30/05/2026,16h,0L,66254,1,66254
30/05/2026,17h,10,0,0,0
30/05/2026,17h,9L,3,1000,3000
30/05/2026,17h,9,13,500,6500
30/05/2026,17h,8L,120,100,12000
30/05/2026,17h,8,604,50,30200
30/05/2026,17h,7L,1303,14,18242
30/05/2026,17h,7,6339,7,44373
30/05/2026,17h,6L,6205,2,12410
30/05/2026,17h,6,31425,1,31425
30/05/2026,17h,0L,69160,1,69160
30/05/2026,18h,10,0,0,0
30/05/2026,18h,9L,1,1000,1000
30/05/2026,18h,9,19,500,9500
30/05/2026,18h,8L,124,100,12400
30/05/2026,18h,8,626,50,31300
30/05/2026,18h,7L,1427,14,19978
30/05/2026,18h,7,7092,7,49644
30/05/2026,18h,6L,7436,2,14872
30/05/2026,18h,6,36665,1,36665
30/05/2026,18h,0L,73079,1,73079
30/05/2026,19h,10,0,0,0
30/05/2026,19h,9L,4,2680,10720
30/05/2026,19h,9,37,991.8,36696.6
30/05/2026,19h,8L,217,229,49693
30/05/2026,19h,8,1079,114.8,123869.2
30/05/2026,19h,7L,2428,35.3,85708.4
30/05/2026,19h,7,12425,20.8,258440
30/05/2026,19h,6L,13263,7.1,94167.3
30/05/2026,19h,6,65603,3.5,229610.5
30/05/2026,19h,0L,130433,1.8,234779.4
06/06/2026,13h,10,0,0,0
06/06/2026,13h,9L,10,1000,10000
06/06/2026,13h,9,35,500,17500
06/06/2026,13h,8L,151,100,15100
06/06/2026,13h,8,714,50,35700
06/06/2026,13h,7L,1528,14,21392
06/06/2026,13h,7,7459,7,52213
06/06/2026,13h,6L,7365,2,14730
06/06/2026,13h,6,36499,1,36499
06/06/2026,13h,0L,71375,1,71375
06/06/2026,14h,10,1,200000,200000
06/06/2026,14h,9L,3,1000,3000
06/06/2026,14h,9,16,500,8000
06/06/2026,14h,8L,81,100,8100
06/06/2026,14h,8,467,50,23350
06/06/2026,14h,7L,1108,14,15512
06/06/2026,14h,7,5564,7,38948
06/06/2026,14h,6L,5897,2,11794
06/06/2026,14h,6,30078,1,30078
06/06/2026,14h,0L,64494,1,64494
06/06/2026,15h,10,0,0,0
06/06/2026,15h,9L,5,1000,5000
06/06/2026,15h,9,10,500,5000
06/06/2026,15h,8L,103,100,10300
06/06/2026,15h,8,496,50,24800
06/06/2026,15h,7L,1198,14,16772
06/06/2026,15h,7,5897,7,41279
06/06/2026,15h,6L,6517,2,13034
06/06/2026,15h,6,32512,1,32512
06/06/2026,15h,0L,65900,1,65900
06/06/2026,16h,10,0,0,0
06/06/2026,16h,9L,5,1000,5000
06/06/2026,16h,9,19,500,9500
06/06/2026,16h,8L,112,100,11200
06/06/2026,16h,8,475,50,23750
06/06/2026,16h,7L,1175,14,16450
06/06/2026,16h,7,5755,7,40285
06/06/2026,16h,6L,6479,2,12958
06/06/2026,16h,6,32124,1,32124
06/06/2026,16h,0L,67518,1,67518
06/06/2026,17h,10,1,300000,300000
06/06/2026,17h,9L,7,1000,7000
06/06/2026,17h,9,29,500,14500
06/06/2026,17h,8L,130,100,13000
06/06/2026,17h,8,628,50,31400
06/06/2026,17h,7L,1433,14,20062
06/06/2026,17h,7,6761,7,47327
06/06/2026,17h,6L,6984,2,13968
06/06/2026,17h,6,34367,1,34367
06/06/2026,17h,0L,70184,1,70184
06/06/2026,18h,10,0,0,0
06/06/2026,18h,9L,3,1000,3000
06/06/2026,18h,9,10,500,5000
06/06/2026,18h,8L,79,100,7900
06/06/2026,18h,8,462,50,23100
06/06/2026,18h,7L,1063,14,14882
06/06/2026,18h,7,5571,7,38997
06/06/2026,18h,6L,6418,2,12836
06/06/2026,18h,6,31229,1,31229
06/06/2026,18h,0L,74387,1,74387
06/06/2026,19h,10,0,0,0
06/06/2026,19h,9L,6,1320,7920
06/06/2026,19h,9,24,716.6,17198.4
06/06/2026,19h,8L,141,156.7,22094.7
06/06/2026,19h,8,739,77,56903
06/06/2026,19h,7L,1754,22.4,39289.6
06/06/2026,19h,7,8852,12.5,110650
06/06/2026,19h,6L,9477,4,37908
06/06/2026,19h,6,48497,2,96994
06/06/2026,19h,0L,112703,1.2,135243.6
13/06/2026,13h,10,0,0,0
13/06/2026,13h,9L,6,1000,6000
13/06/2026,13h,9,23,500,11500
13/06/2026,13h,8L,130,100,13000
13/06/2026,13h,8,666,50,33300
13/06/2026,13h,7L,1391,14,19474
13/06/2026,13h,7,6814,7,47698
13/06/2026,13h,6L,6813,2,13626
13/06/2026,13h,6,33986,1,33986
13/06/2026,13h,0L,67372,1,67372
13/06/2026,14h,10,0,0,0
13/06/2026,14h,9L,4,1000,4000
13/06/2026,14h,9,11,500,5500
13/06/2026,14h,8L,81,100,8100
13/06/2026,14h,8,421,50,21050
13/06/2026,14h,7L,1017,14,14238
13/06/2026,14h,7,5329,7,37303
13/06/2026,14h,6L,5535,2,11070
13/06/2026,14h,6,27727,1,27727
13/06/2026,14h,0L,61655,1,61655
13/06/2026,15h,10,0,0,0
13/06/2026,15h,9L,5,1000,5000
13/06/2026,15h,9,12,500,6000
13/06/2026,15h,8L,102,100,10200
13/06/2026,15h,8,478,50,23900
13/06/2026,15h,7L,1216,14,17024
13/06/2026,15h,7,6107,7,42749
13/06/2026,15h,6L,6600,2,13200
13/06/2026,15h,6,32946,1,32946
13/06/2026,15h,0L,64082,1,64082
13/06/2026,16h,10,0,0,0
13/06/2026,16h,9L,3,1000,3000
13/06/2026,16h,9,15,500,7500
13/06/2026,16h,8L,99,100,9900
13/06/2026,16h,8,493,50,24650
13/06/2026,16h,7L,1193,14,16702
13/06/2026,16h,7,6077,7,42539
13/06/2026,16h,6L,6489,2,12978
13/06/2026,16h,6,32773,1,32773
13/06/2026,16h,0L,66079,1,66079
13/06/2026,17h,10,1,500000,500000
13/06/2026,17h,9L,3,1000,3000
13/06/2026,17h,9,14,500,7000
13/06/2026,17h,8L,114,100,11400
13/06/2026,17h,8,564,50,28200
13/06/2026,17h,7L,1159,14,16226
13/06/2026,17h,7,5931,7,41517
13/06/2026,17h,6L,6491,2,12982
13/06/2026,17h,6,32483,1,32483
13/06/2026,17h,0L,69796,1,69796
13/06/2026,18h,10,1,100000,100000
13/06/2026,18h,9L,5,1000,5000
13/06/2026,18h,9,23,500,11500
13/06/2026,18h,8L,129,100,12900
13/06/2026,18h,8,700,50,35000
13/06/2026,18h,7L,1485,14,20790
13/06/2026,18h,7,7241,7,50687
13/06/2026,18h,6L,7364,2,14728
13/06/2026,18h,6,36232,1,36232
13/06/2026,18h,0L,69829,1,69829
13/06/2026,19h,10,0,0,0
13/06/2026,19h,9L,8,1120,8960
13/06/2026,19h,9,26,600,15600
13/06/2026,19h,8L,194,120.6,23396.4
13/06/2026,19h,8,854,61.7,52691.8
13/06/2026,19h,7L,2063,17.5,36102.5
13/06/2026,19h,7,10154,9.4,95447.6
13/06/2026,19h,6L,10455,2.9,30319.5
13/06/2026,19h,6,52734,1.4,73827.6
13/06/2026,19h,0L,103144,1.1,113458.4
20/06/2026,13h,10,1,100000,100000
20/06/2026,13h,9L,1,1000,1000
20/06/2026,13h,9,19,500,9500
20/06/2026,13h,8L,114,100,11400
20/06/2026,13h,8,569,50,28450
20/06/2026,13h,7L,1356,14,18984
20/06/2026,13h,7,6455,7,45185
20/06/2026,13h,6L,6537,2,13074
20/06/2026,13h,6,32968,1,32968
20/06/2026,13h,0L,60251,1,60251
20/06/2026,14h,10,0,0,0
20/06/2026,14h,9L,3,1000,3000
20/06/2026,14h,9,11,500,5500
20/06/2026,14h,8L,94,100,9400
20/06/2026,14h,8,450,50,22500
20/06/2026,14h,7L,1046,14,14644
20/06/2026,14h,7,5389,7,37723
20/06/2026,14h,6L,5513,2,11026
20/06/2026,14h,6,27089,1,27089
20/06/2026,14h,0L,56376,1,56376
20/06/2026,15h,10,0,0,0
20/06/2026,15h,9L,1,1000,1000
20/06/2026,15h,9,12,500,6000
20/06/2026,15h,8L,66,100,6600
20/06/2026,15h,8,477,50,23850
20/06/2026,15h,7L,1146,14,16044
20/06/2026,15h,7,5475,7,38325
20/06/2026,15h,6L,5623,2,11246
20/06/2026,15h,6,28790,1,28790
20/06/2026,15h,0L,58386,1,58386
20/06/2026,16h,10,0,0,0
20/06/2026,16h,9L,4,1000,4000
20/06/2026,16h,9,9,500,4500
20/06/2026,16h,8L,73,100,7300
20/06/2026,16h,8,431,50,21550
20/06/2026,16h,7L,1081,14,15134
20/06/2026,16h,7,5418,7,37926
20/06/2026,16h,6L,6137,2,12274
20/06/2026,16h,6,30189,1,30189
20/06/2026,16h,0L,59745,1,59745
20/06/2026,17h,10,1,400000,400000
20/06/2026,17h,9L,5,1000,5000
20/06/2026,17h,9,11,500,5500
20/06/2026,17h,8L,77,100,7700
20/06/2026,17h,8,387,50,19350
20/06/2026,17h,7L,943,14,13202
20/06/2026,17h,7,4707,7,32949
20/06/2026,17h,6L,5232,2,10464
20/06/2026,17h,6,26329,1,26329
20/06/2026,17h,0L,64661,1,64661
20/06/2026,18h,10,1,100000,100000
20/06/2026,18h,9L,4,1000,4000
20/06/2026,18h,9,9,500,4500
20/06/2026,18h,8L,87,100,8700
20/06/2026,18h,8,395,50,19750
20/06/2026,18h,7L,1021,14,14294
20/06/2026,18h,7,4915,7,34405
20/06/2026,18h,6L,5775,2,11550
20/06/2026,18h,6,28234,1,28234
20/06/2026,18h,0L,66174,1,66174
20/06/2026,19h,10,0,0,0
20/06/2026,19h,9L,6,1160,6960
20/06/2026,19h,9,21,623.8,13099.8
20/06/2026,19h,8L,144,127.7,18388.8
20/06/2026,19h,8,728,63.7,46373.6
20/06/2026,19h,7L,1857,17.9,33240.3
20/06/2026,19h,7,9165,9.6,87984
20/06/2026,19h,6L,9933,2.9,28805.7
20/06/2026,19h,6,49157,1.4,68819.8
20/06/2026,19h,0L,93432,1.1,102775.2
